Author,RFC_Match_Count
C. Cath,1
N. ten Oever,1
P. Quinn,1
U. Elzur,1
P. Tarapore,1
R. Sayko,1
T. Eckert,3
A. Capello,1
G. Fioccola,2
G. Mirsky,2
L. Castaldelli,1
L. Zheng,1
M. Chen,2
M. Cociglio,1
T. Mizrahi,1
E. Lopez,1
L. Dunbar,1
Z. Li,1
K. Sriram,1
K. Moriarty,1
A. Masucci,1
B. Adamson,1
C. Adjih,1
E. Lochin,1
F. Fitzek,1
G. Peralta,1
J. Bilbao,1
M-J. Montpetit,1
M. Pedersen,1
P. Saxena,1
S. Ghanem,1
V. Firoiu,1
V. Roca,1
M. Richardson,1
M. Siodelski,1
T. Winters,1
H. Sitaraman,2
I. Minei,1
S. Sivabalan,2
V. Beeram,2
B. Wen,1
L. Jalil,1
D. Dolson,1
Y. Lifshitz,1
E. Lear,1
E. Fokschaner,1
LM. Contreras,2
P. Aranda,1
P. Lynch,1
T. Parikh,1
T. Saad,1
E. Grossman,1
E. Noel,1
JJ. Trottin,1
P. Iovanna,1
Y. Fu,1
B. Haberman,1
J. Hall,1
J. Livingood,1
D. Eastlake,1
D. Huang,1
F. Qin,1
S. Hu,1
T. Chua,1
I. Mart\xc3\xadnez-Sarriegui,1
J. Salvach\xc3\xbaa,1
J.J. Aranda,1
M. Cortes,1
M. Narganes,1
J. Fu,1
X. Zhu,1
Z. Sarker,1
C. Doyle,1
W. Kumari,1
A. Ota,1
D. Carrel,1
D.C. Medway Gash,1
L. Grant,1
T. Dahm,1
P. Georgatsos,1
D. von Hugo,1
J. Nobre,1
C. Li,1
J. Hardwick,1
J. Tantsura,1
