Author,RFC_Match_Count
J. Loughney,9
A. Gustafsson,1
R. Glenn,1
S. Frankel,3
A. Clark,4
R. Caceres,1
T. Friedman,1
C. Merrill,1
R. Sabett,1
S. Wu,1
L. Lannom,1
S. Reilly,1
S. Sun,1
J. Reagle,1
M. Hughes,1
H. Khosravi,4
R. Siemborski,1
P. Hethmon,2
C. Cunningham,1
K. Summers,1
S. Legg,3
K. Carlberg,9
D. Mulligan,2
J. Cuellar,1
J. Morris,4
J. Polk,7
M. Danley,1
P. Savola,6
IAB Advisory Committee,1
J. Luciani,1
J. Parker,2
C. Sapuntzakis,1
E. Zeidner,1
J. Satran,2
K. Meth,2
M. Chadalapaka,2
J. Hafner,1
J. Hufferd,1
K. Voruganti,1
M. Bakke,1
F. Travostino,1
J. Tseng,1
J. Walker,3
V. Rangan,1
R. Austein,7
M. Brunner,1
S. Hollenbeck,7
V. Goyal,1
B. Weis,5
T. Hardjono,1
E. Sedlar,1
G. Clemm,2
J. Reschke,5
J. Whitehead,2
H. Levkowetz,2
L. Blunk,1
A. Barbir,3
H. Orman,3
R. Chen,2
R. Penno,7
S. McHenry,1
J. Manner,8
K. Wehrle,1
R. Bless,3
M. Tuexen,8
P. Conrad,1
D. Gustafson,1
M. Just,1
S. Miyakawa,3
E. Taft,1
J. Pravetz,1
S. Zilles,1
F. Strauss,2
A. Bergstrom,1
II,1
I. McDonald,2
L. Costa,1
R. Vida,1
L. Wood,1
R. Ludwig,2
D. Engert,1
L. Pearlman,1
M. Thompson,1
S. Tuecke,1
V. Welch,2
H. Liu,2
E. Carrara,2
F. Lindholm,2
K. Norrman,1
M. Naslund,1
D. Atkins,1
K. Moore,2
B. Srinivas,1
M. Hofmann,1
O. Batuner,1
F. Johansson,1
T. Johansson,2
H. Beykirch,1
M. Hiroya,1
B. Bidulock,1
G. Verwimp,1
L. Coene,1
G. Jones,1
K. Coar,1
G. Marshall,1
M. Westerlund,15
V. See,1
A. Brusilovsky,1
J. Gato,1
M. Unmehopa,1
V. Gurbani,6
B. Claise,22
J. Quittek,8
P. Saint-Andre,26
T. Hardie,3
B. Adamson,6
R. Friend,1
S. Campos,1
S. Okubo,1
T. Johnson,1
E. Mannie,3
S. Leinen,1
K. Kompella,9
B. Zill,2
P. Nikander,2
A. Adams,1
J. Nicholas,1
W. Siadak,1
F. Haerens,1
V. K. Gurbani,1
V. Rastogi,1
D. Singer,4
M.M. Hannuksela,1
S. Wenger,6
T. Stockhammer,1
M. Duerst,3
M. Suignard,1
M. Stapp,3
R. Johnson,2
T. Palaniappan,1
R. Brandner,4
R. Stastny,3
H. Hakala,1
J-P. Koskinen,1
L. Mattila,1
M. Stura,1
B. Haberman,2
A. Gurtov,3
M. Parthasarathy,2
D. Stanley,4
A. Baudot,1
M. Lind,1
S. Park,3
V. Ksinant,1
D. McDysan,2
M. Carugi,1
D. Massey,1
M. Larson,1
R. Arends,3
S. Rose,1
A. Rousskov,1
G. Bourdon,1
L. Dondeti,4
M. Baugher,1
R. Canetti,1
J. Strand,1
A. Yegin,8
C. Wang,1
Y. Ohba,12
A. Singh,1
D. Funato,1
E. Shim,1
M. Liebsch,3
M. Nakhjiri,5
P. Eronen,13
G. Karagiannis,6
R. Hancock,2
S. Van den Bosch,1
D. Kroeselberg,4
H. Tschofenig,46
IAB and IESG,1
A. Atlas,3
P. Pan,2
X. Fu,3
M. Barnes,5
M. Lepp,1
P. Krishnaswamy,1
G. Hellstrom,1
J.-L. Le Roux,2
J.-P. Vasseur,3
R. Callon,1
E. Sadot,1
L. Yang,1
P. Zerfos,1
K. Raeburn,2
S. Hartman,15
T. Yu,1
N. Petroni,1
D. Papadimitriou,13
J. Ash,4
J. Drake,6
K. Tesink,1
R. Fox,1
M. Cooper,1
P. Hesse,1
R. Nicholas,1
S. Joseph,1
Y. Dzambasow,1
A. Gonguet,1
M. Boucadair,26
T. Nadeau,10
Y. El Mghazli,1
C. Heard,1
H. Haverinen,2
J. Salowey,11
C. Beard,1
I. Brown,1
J. Lang,3
J. Wiljakka,1
R. Zhang,4
P. Ford-Hutchinson,1
M. Dubuc,1
T. Aura,1
D. M\'Raihi,3
D. Naccache,1
F. Hoornaert,1
M. Bellare,1
O. Ranen,1
R. Graveman,1
A. Takenouchi,1
T. Yamasaki,1
Y. Shirasaki,1
C. Lonvick,1
G. Bernstein,5
D. Brungard,3
S. Santesson,5
K. Patel,9
A. Patel,5
H. Akhtar,2
K. Chowdhury,11
K. Leung,11
M. Khalil,3
F. Adrangi,3
F. Bari,2
V. Lortz,1
S. Bailey,2
T. Talpey,2
K. Seo,1
A. Kato,1
M. Kanda,1
S. Moriai,1
A. Melnikov,16
D.H. Redelmeier,1
M. Richardson,7
D. Royer,1
G. Babics,1
R. Housley,13
B. Hoehrmann,1
L. Dusseault,4
E. Kohler,4
A. Lakaniemi,1
J. Sjoberg,1
K. Sandlund,1
L. Lynch,1
A. Lior,7
J. Korhonen,27
P. Koskelainen,1
X. Wu,1
D. Allan,3
M. Morrow,2
S. Matsushima,3
P. Gutmann,1
J. Chu,3
V. Kashyap,2
J. Rey,2
Y. Matsui,1
B. Bergeson,1
K. Boogert,1
V. Nanjundaswamy,1
E. Allman,2
H. Katz,1
J. Lyon,1
M. Wong,2
W. Schlitt,1
M. West,3
S. McCann,2
J. Wong,1
A. Klemets,1
J. Vilhuber,1
K. Kamada,1
S. Sakane,1
M. Kulkarni,1
H. Asaeda,3
J-P. Luoma,1
R. Walsh,1
Y. Nomura,1
E. Lear,7
C. Jennings,10
F. Audet,4
J. Elwell,3
S. Yasukawa,4
J. Galbraith,1
J. Hutzelman,1
B. Eberman,1
P. Monaco,1
S. Shanmugham,2
A. Surtees,2
J. Ihren,2
S. Weiler,1
C. Strauf,1
S. Venaas,7
T. Chown,5
D. Sicker,1
B. Moeller,2
C. Hawk,1
N. Bolyard,1
F. Derks,1
O. Rousseau,1
P. Mourot,1
C. Stredicke,1
H. Sinnreich,2
S. Lass,1
J. Sermersheim,1
R. Harrison,1
M. Smith,1
T. Howes,1
D. Raftus,1
E. Cardona,1
A. Vainshtein,4
YJ. Stein,1
B. Tung,1
L. Zhu,5
T. Melsen,1
B. Sarikaya,9
D. Loher,1
O. Volinsky,1
O. Levin,1
D. Leon,1
V. Varsa,1
B. Sterman,2
D. Sadolevsky,2
D. Schwartz,2
W. Beck,2
B. Link,1
H. Holbrook,3
R. Lehtonen,1
T. Kivinen,7
G. Giaretta,4
O. Kolkman,10
R. Gieben,3
A. Phillips,2
M. Davis,2
M. Euchner,1
C. Vogt,3
D. Ward,7
J. Sadler,1
S. Shew,1
A. L. N. Reddy,1
S. Bhandarkar,1
A. Karp,1
J. Boote,1
S. Shalunov,2
J.L. Le Roux,2
E. Leppanen,1
H. Khartabil,2
J. Costa-Requena,1
M. Lonnfors,1
W. Augustyn,1
Y. Serbest,3
N. Jonnala,2
S. De Cnodder,3
M. Sanchez,2
P. Arberg,2
R. Rennison,1
V. Mammoliti,2
A. Medvinsky,1
J. Ball,1
E. Nechamkin,1
J-F. Mule,2
H.. Lee,1
J. Lee,3
J. Park,1
T. Polk,2
J. Fenton,1
D. King,6
J. Perser,1
S. Erramilli,1
S. Khurana,1
S. Poretsky,4
C. Karp,1
J. Lazzaro,2
J. Wawrzynek,2
M. Dodge,1
M. Morgenstern,3
S. Baillie,2
U. Bonollo,2
H. Schlichting,1
P. Grau,1
R. Schuettler,1
V. Heinau,1
A. Siddiqui,1
E. Golovinsky,1
M. Rahman,1
Y. Kim,1
J. Bharatia,1
M. Dolly,2
C. Canales-Valenzuela,1
K. Tammi,1
M. Belinchon,1
M. Pallares-Lopez,1
R. Enns,2
T. Clancy,5
W. Arbaugh,1
A. Sollaud,2
J. Brezak,1
K. Jaganathan,1
F. Bersani,2
B. Feinstein,1
D. Curry,1
