Author,RFC_Match_Count
JP. Vasseur,33
Y. Ikejiri,5
A. Morton,36
G. Ramachandran,2
J. Perser,1
L. Ciavattone,4
D. Ignjatic,3
P. Lin,1
J. Korhonen,38
C. Canales-Valenzuela,1
K. Tammi,1
M. Belinchon,1
M. Pallares-Lopez,1
R. Enns,2
M. Wasserman,5
T. Goddard,2
K. Crozier,1
T. Clancy,5
W. Arbaugh,1
G. Ramkumar,2
S. Kipp,2
D. Joyal,2
P. Galecki,1
S. Giacalone,5
D. Fu,3
J. Solinas,9
V. Kashyap,1
A. Li,2
M. Nystroem,5
R. Shockey,2
R. Chandra,2
K. Kompella,17
M. Lasserre,3
V. Kompella,3
M. Vanderveen,1
F. Bersani,2
B. Feinstein,2
D. Curry,1
H. Debar,1
M. Erlinger,1
M. Wood,1
G. Matthews,1
J. Livingood,14
M. Kaeo,1
A. Ahmed,1
C. Popoviciu,4
J. Palet,1
S. Asadullah,1
D. Walker,1
J. Maeng,1
K. Lingle,1
A. Jain,6
P. Sarolahti,2
C. Carroll,1
F. Quick,1
P. Goel,1
J. Abley,14
K. Lindqvist,1
Q. Xie,8
R. Kapoor,1
T. Jeffree,1
A. Gulbrandsen,9
M. Duerst,5
B. Desruisseaux,3
C. Daboo,23
L. Dusseault,4
S. Legg,6
L. Esibov,1
J. Hautakorpi,4
D. Ooms,2
F. Le Faucheur,16
J. De Clercq,1
S. Prevost,1
O. Nicklass,4
C. Wang,1
M. Baer,2
R. Charlet,1
R. Story,1
W. Hardaker,12
C. Bonatti,2
G. Lebovitz,5
S. Turner,51
C. Wallace,9
U. Pordesch,3
A. Roy,11
A. Zinin,8
L. Nguyen,6
B. Friedman,2
D. Yeung,3
T. Player,1
G. Pelletier,7
K. Sandlund,6
L-E. Jonsson,5
P. Kremer,1
T. Walsh,1
C. Pignataro,51
J. Young,1
S. Wainner,1
T. Seely,1
J. Salowey,18
J. Bright,1
P. Lei,5
R. Stewart,19
J. Heffner,3
M. Fanto,3
R. Scott,1
A. Bachmann,1
IO. zmoelnig,1
J. Hofmueller,1
E. Leppanen,4
M. Isomaki,4
E. Kohler,2
C. Scoglio,1
J. de Oliveira,3
L. Chen,5
P. Eggert,3
T. Morin,11
V. Manral,24
E. Beili,7
L. Khermosh,1
A. Hooke,1
H. Weiss,2
K. Fall,2
K. Scott,3
L. Torgerson,1
R. Durst,1
S. Burleigh,6
G. Conboy,1
J. Ferraiolo,1
J. Rivlin,1
C. Heard,1
D. Zelig,6
P. Pate,2
F. Dupont,5
J. Laganier,12
T. Takeda,10
M. Sanchez,1
P. Congdon,2
D. Wysochanski,1
H. Zhou,6
N. Cam-Winget,11
D. Green,1
S. Klynsma,1
T. Chown,14
Y. Pouffary,2
S. Casner,3
A. Jonsson,1
E. Fogelstroem,1
C. Christou,4
