RFC_ID,Title,Authors,Date,Status,Stream,Area,Working_Group
822,STANDARD FOR THE FORMAT OF ARPA INTERNET TEXT MESSAGES,D. Crocker,August 1982,INTERNET STANDARD,Legacy,,
823,DARPA Internet gateway,"A. Sheltzer,R.M. Hinden",September 1982,HISTORIC,Legacy,,
841,Specification for message format for Computer Based Message Systems,National Bureau of Standards,January 1983,UNKNOWN,Legacy,,
850,Standard for interchange of USENET messages,M.R. Horton,June 1983,UNKNOWN,Legacy,,
869,Host Monitoring Protocol,R. Hinden,December 1983,HISTORIC,Legacy,,
870,Assigned numbers,"J. Postel,J.K. Reynolds",October 1983,HISTORIC,Legacy,,
871,Perspective on the ARPANET reference model,M.A. Padlipsky,September 1982,UNKNOWN,Legacy,,
874,Critique of X.25,M.A. Padlipsky,September 1982,UNKNOWN,Legacy,,
883,Domain names: Implementation specification,P.V. Mockapetris,November 1983,UNKNOWN,Legacy,,
892,ISO Transport Protocol specification,International Organization for Standardization,December 1983,UNKNOWN,Legacy,,
900,Assigned Numbers,"J. Postel,J.K. Reynolds",June 1984,HISTORIC,Legacy,,
905,ISO Transport Protocol specification ISO DP 8073,ISO,April 1984,UNKNOWN,Legacy,,
911,EGP Gateway under Berkeley UNIX 4.2,P. Kirton,August 1984,UNKNOWN,Legacy,,
913,Simple File Transfer Protocol,M. Lottor,September 1984,HISTORIC,Legacy,,
923,Assigned numbers,"J. Postel,J.K. Reynolds",October 1984,HISTORIC,Legacy,,
926,Protocol for providing the connectionless mode network services,International Organization for Standardization,December 1984,UNKNOWN,Legacy,,
928,Introduction to proposed DoD standard H-FP,M.A. Padlipsky,December 1984,UNKNOWN,Legacy,,
937,Post Office Protocol: Version 2,"D. Chase,J. Goldberger,J. Postel,J.K. Reynolds,M. Butler",February 1985,HISTORIC,Legacy,,
938,Internet Reliable Transaction Protocol functional and interface specification,T. Miller,February 1985,EXPERIMENTAL,Legacy,,
939,Executive summary of the NRC report on transport protocols for Department of Defense data networks,National Research Council,February 1985,UNKNOWN,Legacy,,
941,Addendum to the network service definition covering network layer addressing,International Organization for Standardization,April 1985,UNKNOWN,Legacy,,
942,Transport protocols for Department of Defense data networks,National Research Council,February 1985,UNKNOWN,Legacy,,
943,Assigned numbers,"J. Postel,J.K. Reynolds",April 1985,HISTORIC,Legacy,,
949,FTP unique-named store command,M.A. Padlipsky,July 1985,UNKNOWN,Legacy,,
950,Internet Standard Subnetting Procedure,"J. Postel,J.C. Mogul",August 1985,INTERNET STANDARD,Legacy,,
957,Experiments in network clock synchronization,D.L. Mills,September 1985,UNKNOWN,Legacy,,
959,File Transfer Protocol,"J. Postel,J. Reynolds",October 1985,INTERNET STANDARD,Legacy,,
960,Assigned numbers,"J. Postel,J.K. Reynolds",December 1985,HISTORIC,Legacy,,
963,Some problems with the specification of the Military Standard Internet Protocol,D.P. Sidhu,November 1985,UNKNOWN,Legacy,,
982,Guidelines for the specification of the structure of the Domain Specific Part (DSP) of the ISO standard NSAP address,H.W. Braun,April 1986,UNKNOWN,Legacy,,
984,PCMAIL: A distributed mail system for personal computers,"D.D. Clark,M.L. Lambert",May 1986,UNKNOWN,Legacy,,
985,Requirements for Internet gateways - draft,"National Science Foundation,Network Technical Advisory Group",May 1986,UNKNOWN,Legacy,,
990,Assigned numbers,"J. Postel,J.K. Reynolds",November 1986,HISTORIC,Legacy,,
993,PCMAIL: A distributed mail system for personal computers,"D.D. Clark,M.L. Lambert",December 1986,UNKNOWN,Legacy,,
995,End System to Intermediate System Routing Exchange Protocol for use in conjunction with ISO 8473,International Organization for Standardization,April 1986,UNKNOWN,Legacy,,
998,NETBLT: A bulk data transfer protocol,"D.D. Clark,L. Zhang,M.L. Lambert",March 1987,EXPERIMENTAL,Legacy,,
1000,Request For Comments reference guide,"J. Postel,J.K. Reynolds",August 1987,UNKNOWN,Legacy,,
1001,Protocol standard for a NetBIOS service on a TCP/UDP transport: Concepts and methods,"End-to-End Services Task Force,Internet Activities Board,NetBIOS Working Group in the Defense Advanced Research Projects Agency",March 1987,INTERNET STANDARD,Legacy,,
1008,Implementation guide for the ISO Transport Protocol,W. McCoy,June 1987,UNKNOWN,Legacy,,
1009,Requirements for Internet gateways,"J. Postel,R.T. Braden",June 1987,HISTORIC,Legacy,,
1010,Assigned numbers,"J. Postel,J.K. Reynolds",May 1987,HISTORIC,Legacy,,
1012,Bibliography of Request For Comments 1 through 999,"J. Postel,J.K. Reynolds",June 1987,INFORMATIONAL,Legacy,,
1015,Implementation plan for interagency research Internet,B.M. Leiner,July 1987,UNKNOWN,Legacy,,
1017,Network requirements for scientific research: Internet task force on scientific computing,B.M. Leiner,August 1987,UNKNOWN,Legacy,,
1026,Addendum to RFC 987: (Mapping between X.400 and RFC-822),S.E. Kille,September 1987,UNKNOWN,Legacy,,
1030,On testing the NETBLT Protocol over divers networks,M.L. Lambert,November 1987,UNKNOWN,Legacy,,
1034,Domain names - concepts and facilities,P.V. Mockapetris,November 1987,INTERNET STANDARD,Legacy,,
1036,Standard for interchange of USENET messages,"M.R. Horton,R. Adams",December 1987,UNKNOWN,Legacy,,
1037,NFILE - a file access protocol,"B. Greenberg,S. Keene",December 1987,HISTORIC,Legacy,,
1045,VMTP: Versatile Message Transaction Protocol: Protocol specification,D.R. Cheriton,February 1988,EXPERIMENTAL,Legacy,,
1056,PCMAIL: A distributed mail system for personal computers,M.L. Lambert,June 1988,INFORMATIONAL,Legacy,,
1060,Assigned numbers,"J. Postel,J.K. Reynolds",March 1990,HISTORIC,Legacy,,
1068,Background File Transfer Program (BFTP),"A.L. DeSchon,R.T. Braden",August 1988,UNKNOWN,Legacy,,
1071,Computing the Internet checksum,"C. Partridge,D.A. Borman,R.T. Braden",September 1988,INFORMATIONAL,Legacy,,
1077,Critical issues in high bandwidth networking,B.M. Leiner,November 1988,UNKNOWN,Legacy,,
1095,Common Management Information Services and Protocol over TCP/IP (CMOT),"L. Besaw,U.S. Warrier",April 1989,UNKNOWN,Legacy,,
1099,Request for Comments Summary: RFC Numbers 1000-1099,J. Reynolds,December 1991,INFORMATIONAL,Legacy,,
1102,Policy routing in Internet protocols,D.D. Clark,May 1989,UNKNOWN,Legacy,,
1104,Models of policy based routing,H.W. Braun,June 1989,UNKNOWN,Legacy,,
1107,Plan for Internet directory services,K.R. Sollins,July 1989,INFORMATIONAL,Legacy,,
1114,Privacy enhancement for Internet electronic mail: Part II - certificate-based key management,"J. Linn,S.T. Kent",August 1989,HISTORIC,Legacy,,
1115,"Privacy enhancement for Internet electronic mail: Part III - algorithms, modes, and identifiers",J. Linn,August 1989,HISTORIC,Legacy,,
1116,Telnet Linemode option,D.A. Borman,August 1989,PROPOSED STANDARD,Legacy,,
1123,Requirements for Internet Hosts - Application and Support,R. Braden,October 1989,INTERNET STANDARD,Legacy,,
1125,Policy requirements for inter Administrative Domain routing,D. Estrin,November 1989,UNKNOWN,Legacy,,
1126,Goals and functional requirements for inter-autonomous system routing,M. Little,October 1989,UNKNOWN,Legacy,,
1135,Helminthiasis of the Internet,J.K. Reynolds,December 1989,INFORMATIONAL,Legacy,,
1138,Mapping between X.400(1988) / ISO 10021 and RFC 822,S.E. Kille,December 1989,EXPERIMENTAL,Legacy,,
1142,OSI IS-IS Intra-domain Routing Protocol,D. Oran,February 1990,HISTORIC,Legacy,,
1144,Compressing TCP/IP Headers for Low-Speed Serial Links,V. Jacobson,February 1990,PROPOSED STANDARD,Legacy,,
1147,FYI on a Network Management Tool Catalog: Tools for Monitoring and Debugging TCP/IP Internets and Interconnected Devices,R.H. Stine,April 1990,INFORMATIONAL,IETF,,noctools
1148,Mapping between X.400(1988) / ISO 10021 and RFC 822,S.E. Kille,March 1990,EXPERIMENTAL,Legacy,,
1167,Thoughts on the National Research and Education Network,V.G. Cerf,July 1990,INFORMATIONAL,Legacy,,
1168,Intermail and Commercial Mail Relay services,"A. Westine,A.L. DeSchon,C.E. Ward,J. Postel",July 1990,INFORMATIONAL,Legacy,,
1173,"Responsibilities of host and network managers: A summary of the ""oral tradition"" of the Internet",J. VanBokkelen,August 1990,INFORMATIONAL,Legacy,,
1175,FYI on where to start: A bibliography of internetworking information,"A. Yuan,J.K. Reynolds,K. Roubicek,K.L. Bowers,M.K. Stahl,T.L. LaQuey",August 1990,INFORMATIONAL,IETF,,userdoc
1177,"FYI on Questions and Answers: Answers to commonly asked ""new internet user"" questions","A.N. Marine,G.S. Malkin,J.K. Reynolds",August 1990,INFORMATIONAL,Legacy,,
1180,TCP/IP tutorial,"C.J. Kale,T.J. Socolofsky",January 1991,INFORMATIONAL,Legacy,,
